substrate,product,mapped_reaction,hydrogenated_atoms
[CH3:1][c:2]1[cH:19][c:18]2[cH:17][c:7]([B:8]3[O:16][C:13]([CH3:14])([CH3:15])[C:10]([CH3:11])([CH3:12])[O:9]3)[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([B:8]3[O:9][C:10]([CH3:11])([CH3:12])[C:13]([CH3:14])([CH3:15])[O:16]3)[cH:17][c:18]2[CH2:19]1,[CH3:1][c:2]1[cH:19][c:18]2[cH:17][c:7]([B:8]3[O:16][C:13]([CH3:14])([CH3:15])[C:10]([CH3:11])([CH3:12])[O:9]3)[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([B:8]3[O:9][C:10]([CH3:11])([CH3:12])[C:13]([CH3:14])([CH3:15])[O:16]3)[cH:17][c:18]2[CH2:19]1,"[2, 19]"
[CH3:1][c:2]1[cH:12][c:11]2[cH:10][c:7]([O:8][CH3:9])[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([O:8][CH3:9])[cH:10][c:11]2[CH2:12]1,[CH3:1][c:2]1[cH:12][c:11]2[cH:10][c:7]([O:8][CH3:9])[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([O:8][CH3:9])[cH:10][c:11]2[CH2:12]1,"[2, 12]"
[CH3:1][c:2]1[cH:14][c:13]2[cH:12][c:7]([C:8]([CH3:9])([CH3:10])[CH3:11])[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([C:8]([CH3:9])([CH3:10])[CH3:11])[cH:12][c:13]2[CH2:14]1,[CH3:1][c:2]1[cH:14][c:13]2[cH:12][c:7]([C:8]([CH3:9])([CH3:10])[CH3:11])[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([C:8]([CH3:9])([CH3:10])[CH3:11])[cH:12][c:13]2[CH2:14]1,"[2, 14]"
[CH3:1][c:2]1[cH:13][c:12]2[cH:11][c:7]([CH:8]([CH3:9])[CH3:10])[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([CH:8]([CH3:9])[CH3:10])[cH:11][c:12]2[CH2:13]1,[CH3:1][c:2]1[cH:13][c:12]2[cH:11][c:7]([CH:8]([CH3:9])[CH3:10])[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([CH:8]([CH3:9])[CH3:10])[cH:11][c:12]2[CH2:13]1,"[2, 13]"
[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[cH:13][c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]2[o:6]1,[CH3:1][CH2:2][CH2:3][CH2:4][C@H:5]1[O:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13]1,[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[cH:13][c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]2[o:6]1>>[CH3:1][CH2:2][CH2:3][CH2:4][C@H:5]1[O:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13]1,"[5, 13]"
[cH:7]1[cH:6][cH:5][c:4]2[o:3][c:2]([CH3:1])[cH:10][c:9]2[cH:8]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[CH2:10]1,[cH:7]1[cH:6][cH:5][c:4]2[o:3][c:2]([CH3:1])[cH:10][c:9]2[cH:8]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[CH2:10]1,"[2, 10]"
[CH3:8][c:7]1[cH:6][cH:5][c:4]2[o:3][c:2]([CH3:1])[cH:11][c:10]2[cH:9]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([CH3:8])[cH:9][c:10]2[CH2:11]1,[CH3:8][c:7]1[cH:6][cH:5][c:4]2[o:3][c:2]([CH3:1])[cH:11][c:10]2[cH:9]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([CH3:8])[cH:9][c:10]2[CH2:11]1,"[2, 11]"
[CH3:1][c:2]1[cH:12][c:11]2[cH:10][c:7]([CH2:8][CH3:9])[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([CH2:8][CH3:9])[cH:10][c:11]2[CH2:12]1,[CH3:1][c:2]1[cH:12][c:11]2[cH:10][c:7]([CH2:8][CH3:9])[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([CH2:8][CH3:9])[cH:10][c:11]2[CH2:12]1,"[2, 12]"
[CH3:1][c:2]1[cH:13][c:12]2[cH:11][c:7]([CH:8]([CH3:9])[CH3:10])[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([CH:8]([CH3:9])[CH3:10])[cH:11][c:12]2[CH2:13]1,[CH3:1][c:2]1[cH:13][c:12]2[cH:11][c:7]([CH:8]([CH3:9])[CH3:10])[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([CH:8]([CH3:9])[CH3:10])[cH:11][c:12]2[CH2:13]1,"[2, 13]"
[CH3:1][c:2]1[cH:14][c:13]2[cH:12][c:7]([C:8]([CH3:9])([CH3:10])[CH3:11])[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([C:8]([CH3:9])([CH3:10])[CH3:11])[cH:12][c:13]2[CH2:14]1,[CH3:1][c:2]1[cH:14][c:13]2[cH:12][c:7]([C:8]([CH3:9])([CH3:10])[CH3:11])[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([C:8]([CH3:9])([CH3:10])[CH3:11])[cH:12][c:13]2[CH2:14]1,"[2, 14]"
[CH3:1][c:2]1[cH:11][c:10]2[cH:9][cH:8][cH:7][c:5]([CH3:6])[c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([CH3:6])[cH:7][cH:8][cH:9][c:10]2[CH2:11]1,[CH3:1][c:2]1[cH:11][c:10]2[cH:9][cH:8][cH:7][c:5]([CH3:6])[c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([CH3:6])[cH:7][cH:8][cH:9][c:10]2[CH2:11]1,"[2, 11]"
[CH3:1][c:2]1[cH:14][c:13]2[cH:12][cH:11][cH:10][c:5]([C:6]([CH3:7])([CH3:8])[CH3:9])[c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([C:6]([CH3:7])([CH3:8])[CH3:9])[cH:10][cH:11][cH:12][c:13]2[CH2:14]1,[CH3:1][c:2]1[cH:14][c:13]2[cH:12][cH:11][cH:10][c:5]([C:6]([CH3:7])([CH3:8])[CH3:9])[c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([C:6]([CH3:7])([CH3:8])[CH3:9])[cH:10][cH:11][cH:12][c:13]2[CH2:14]1,"[2, 14]"
[CH3:1][c:2]1[cH:12][c:11]2[cH:10][cH:9][c:7]([CH3:8])[c:5]([CH3:6])[c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([CH3:6])[c:7]([CH3:8])[cH:9][cH:10][c:11]2[CH2:12]1,[CH3:1][c:2]1[cH:12][c:11]2[cH:10][cH:9][c:7]([CH3:8])[c:5]([CH3:6])[c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([CH3:6])[c:7]([CH3:8])[cH:9][cH:10][c:11]2[CH2:12]1,"[2, 12]"
[CH3:1][c:2]1[cH:16][c:15]2[cH:14][c:7](-[c:8]3[cH:9][cH:10][cH:11][cH:12][cH:13]3)[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7](-[c:8]3[cH:9][cH:10][cH:11][cH:12][cH:13]3)[cH:14][c:15]2[CH2:16]1,[CH3:1][c:2]1[cH:16][c:15]2[cH:14][c:7](-[c:8]3[cH:9][cH:10][cH:11][cH:12][cH:13]3)[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7](-[c:8]3[cH:9][cH:10][cH:11][cH:12][cH:13]3)[cH:14][c:15]2[CH2:16]1,"[2, 16]"
[CH3:1][c:2]1[cH:12][c:11]2[cH:10][c:7]([O:8][CH3:9])[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([O:8][CH3:9])[cH:10][c:11]2[CH2:12]1,[CH3:1][c:2]1[cH:12][c:11]2[cH:10][c:7]([O:8][CH3:9])[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([O:8][CH3:9])[cH:10][c:11]2[CH2:12]1,"[2, 12]"
[CH3:1][c:2]1[cH:12][c:11]2[cH:10][cH:9][cH:8][c:5]([O:6][CH3:7])[c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([O:6][CH3:7])[cH:8][cH:9][cH:10][c:11]2[CH2:12]1,[CH3:1][c:2]1[cH:12][c:11]2[cH:10][cH:9][cH:8][c:5]([O:6][CH3:7])[c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([O:6][CH3:7])[cH:8][cH:9][cH:10][c:11]2[CH2:12]1,"[2, 12]"
[CH3:1][c:2]1[cH:14][c:13]2[cH:12][c:7]([C:8]([F:9])([F:10])[F:11])[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([C:8]([F:9])([F:10])[F:11])[cH:12][c:13]2[CH2:14]1,[CH3:1][c:2]1[cH:14][c:13]2[cH:12][c:7]([C:8]([F:9])([F:10])[F:11])[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([C:8]([F:9])([F:10])[F:11])[cH:12][c:13]2[CH2:14]1,"[2, 14]"
[CH3:1][c:2]1[cH:14][c:13]2[cH:12][c:7]([C:8]([O:9][CH3:10])=[O:11])[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([C:8]([O:9][CH3:10])=[O:11])[cH:12][c:13]2[CH2:14]1,[CH3:1][c:2]1[cH:14][c:13]2[cH:12][c:7]([C:8]([O:9][CH3:10])=[O:11])[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([C:8]([O:9][CH3:10])=[O:11])[cH:12][c:13]2[CH2:14]1,"[2, 14]"
[CH3:1][c:2]1[cH:16][c:15]2[cH:14][c:7]([N:8]3[CH2:9][CH2:10][O:11][CH2:12][CH2:13]3)[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([N:8]3[CH2:9][CH2:10][O:11][CH2:12][CH2:13]3)[cH:14][c:15]2[CH2:16]1,[CH3:1][c:2]1[cH:16][c:15]2[cH:14][c:7]([N:8]3[CH2:9][CH2:10][O:11][CH2:12][CH2:13]3)[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([N:8]3[CH2:9][CH2:10][O:11][CH2:12][CH2:13]3)[cH:14][c:15]2[CH2:16]1,"[2, 16]"
[CH3:1][c:2]1[cH:15][c:14]2[cH:13][c:7]([N:8]([CH2:9][CH3:10])[CH2:11][CH3:12])[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([N:8]([CH2:9][CH3:10])[CH2:11][CH3:12])[cH:13][c:14]2[CH2:15]1,[CH3:1][c:2]1[cH:15][c:14]2[cH:13][c:7]([N:8]([CH2:9][CH3:10])[CH2:11][CH3:12])[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([N:8]([CH2:9][CH3:10])[CH2:11][CH3:12])[cH:13][c:14]2[CH2:15]1,"[2, 15]"
[CH3:1][c:2]1[cH:14][c:13]2[cH:12][c:7]([NH:8][C:9]([CH3:10])=[O:11])[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([NH:8][C:9]([CH3:10])=[O:11])[cH:12][c:13]2[CH2:14]1,[CH3:1][c:2]1[cH:14][c:13]2[cH:12][c:7]([NH:8][C:9]([CH3:10])=[O:11])[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([NH:8][C:9]([CH3:10])=[O:11])[cH:12][c:13]2[CH2:14]1,"[2, 14]"
[CH3:1][c:2]1[cH:11][c:10]2[cH:9][c:7]([NH2:8])[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([NH2:8])[cH:9][c:10]2[CH2:11]1,[CH3:1][c:2]1[cH:11][c:10]2[cH:9][c:7]([NH2:8])[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([NH2:8])[cH:9][c:10]2[CH2:11]1,"[2, 11]"
[CH3:1][c:2]1[cH:19][c:18]2[cH:17][c:7]([B:8]3[O:16][C:13]([CH3:14])([CH3:15])[C:10]([CH3:11])([CH3:12])[O:9]3)[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([B:8]3[O:9][C:10]([CH3:11])([CH3:12])[C:13]([CH3:14])([CH3:15])[O:16]3)[cH:17][c:18]2[CH2:19]1,[CH3:1][c:2]1[cH:19][c:18]2[cH:17][c:7]([B:8]3[O:16][C:13]([CH3:14])([CH3:15])[C:10]([CH3:11])([CH3:12])[O:9]3)[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([B:8]3[O:9][C:10]([CH3:11])([CH3:12])[C:13]([CH3:14])([CH3:15])[O:16]3)[cH:17][c:18]2[CH2:19]1,"[2, 19]"
[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2>>[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,"[7, 8]"
[CH3:1][CH2:2][c:3]1[cH:11][c:10]2[cH:9][cH:8][cH:7][cH:6][c:5]2[o:4]1,[CH3:1][CH2:2][C@H:3]1[O:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH2:11]1,[CH3:1][CH2:2][c:3]1[cH:11][c:10]2[cH:9][cH:8][cH:7][cH:6][c:5]2[o:4]1>>[CH3:1][CH2:2][C@H:3]1[O:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH2:11]1,"[3, 11]"
[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[cH:13][c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]2[o:6]1,[CH3:1][CH2:2][CH2:3][CH2:4][C@H:5]1[O:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13]1,[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[cH:13][c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]2[o:6]1>>[CH3:1][CH2:2][CH2:3][CH2:4][C@H:5]1[O:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13]1,"[5, 13]"
[CH3:1][c:2]1[cH:3][o:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]12,[CH3:1][C@H:2]1[CH2:3][O:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]21,[CH3:1][c:2]1[cH:3][o:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]12>>[CH3:1][C@H:2]1[CH2:3][O:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]21,"[2, 3]"
[CH3:1][c:2]1[cH:11][c:10]2[cH:9][cH:8][cH:7][c:5]([F:6])[c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([F:6])[cH:7][cH:8][cH:9][c:10]2[CH2:11]1,[CH3:1][c:2]1[cH:11][c:10]2[cH:9][cH:8][cH:7][c:5]([F:6])[c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([F:6])[cH:7][cH:8][cH:9][c:10]2[CH2:11]1,"[2, 11]"
[CH3:1][c:2]1[cH:11][c:10]2[cH:9][c:7]([F:8])[cH:6][cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([F:8])[cH:9][c:10]2[CH2:11]1,[CH3:1][c:2]1[cH:11][c:10]2[cH:9][c:7]([F:8])[cH:6][cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][cH:6][c:7]([F:8])[cH:9][c:10]2[CH2:11]1,"[2, 11]"
[CH3:1][c:2]1[cH:12][c:11]2[cH:10][cH:9][c:7]([F:8])[c:5]([F:6])[c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([F:6])[c:7]([F:8])[cH:9][cH:10][c:11]2[CH2:12]1,[CH3:1][c:2]1[cH:12][c:11]2[cH:10][cH:9][c:7]([F:8])[c:5]([F:6])[c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([F:6])[c:7]([F:8])[cH:9][cH:10][c:11]2[CH2:12]1,"[2, 12]"
[CH3:1][c:2]1[cH:12][c:11]2[cH:10][c:8]([F:9])[cH:7][c:5]([F:6])[c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([F:6])[cH:7][c:8]([F:9])[cH:10][c:11]2[CH2:12]1,[CH3:1][c:2]1[cH:12][c:11]2[cH:10][c:8]([F:9])[cH:7][c:5]([F:6])[c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([F:6])[cH:7][c:8]([F:9])[cH:10][c:11]2[CH2:12]1,"[2, 12]"
[CH3:1][c:2]1[cH:12][c:11]2[c:9]([F:10])[cH:8][cH:7][c:5]([F:6])[c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([F:6])[cH:7][cH:8][c:9]([F:10])[c:11]2[CH2:12]1,[CH3:1][c:2]1[cH:12][c:11]2[c:9]([F:10])[cH:8][cH:7][c:5]([F:6])[c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([F:6])[cH:7][cH:8][c:9]([F:10])[c:11]2[CH2:12]1,"[2, 12]"
[CH3:1][c:2]1[cH:13][c:12]2[cH:11][c:9]([F:10])[c:7]([F:8])[c:5]([F:6])[c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([F:6])[c:7]([F:8])[c:9]([F:10])[cH:11][c:12]2[CH2:13]1,[CH3:1][c:2]1[cH:13][c:12]2[cH:11][c:9]([F:10])[c:7]([F:8])[c:5]([F:6])[c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([F:6])[c:7]([F:8])[c:9]([F:10])[cH:11][c:12]2[CH2:13]1,"[2, 13]"
[CH3:1][c:2]1[cH:13][c:12]2[c:10]([F:11])[c:8]([F:9])[c:6]([F:7])[cH:5][c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][c:6]([F:7])[c:8]([F:9])[c:10]([F:11])[c:12]2[CH2:13]1,[CH3:1][c:2]1[cH:13][c:12]2[c:10]([F:11])[c:8]([F:9])[c:6]([F:7])[cH:5][c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[cH:5][c:6]([F:7])[c:8]([F:9])[c:10]([F:11])[c:12]2[CH2:13]1,"[2, 13]"
[O:1]=[c:2]1[n:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[c:13](-[c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[cH:20][o:21]1,[O:1]=[C:2]1[N:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[C@H:13]([c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[CH2:20][O:21]1,[O:1]=[c:2]1[n:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[c:13](-[c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[cH:20][o:21]1>>[O:1]=[C:2]1[N:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[C@H:13]([c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[CH2:20][O:21]1,"[13, 20]"
[O:1]=[c:2]1[n:3]([CH3:4])[c:5](-[c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[cH:12][o:13]1,[O:1]=[C:2]1[N:3]([CH3:4])[C@H:5]([c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[CH2:12][O:13]1,[O:1]=[c:2]1[n:3]([CH3:4])[c:5](-[c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[cH:12][o:13]1>>[O:1]=[C:2]1[N:3]([CH3:4])[C@H:5]([c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[CH2:12][O:13]1,"[5, 12]"
[O:1]=[c:2]1[n:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[c:13](-[c:14]2[c:15]([CH3:16])[cH:17][cH:18][cH:19][cH:20]2)[cH:21][o:22]1,[O:1]=[C:2]1[N:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[C@H:13]([c:14]2[c:15]([CH3:16])[cH:17][cH:18][cH:19][cH:20]2)[CH2:21][O:22]1,[O:1]=[c:2]1[n:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[c:13](-[c:14]2[c:15]([CH3:16])[cH:17][cH:18][cH:19][cH:20]2)[cH:21][o:22]1>>[O:1]=[C:2]1[N:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[C@H:13]([c:14]2[c:15]([CH3:16])[cH:17][cH:18][cH:19][cH:20]2)[CH2:21][O:22]1,"[13, 21]"
[O:1]=[c:2]1[n:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[c:13](-[c:14]2[cH:15][c:16]([CH3:17])[cH:18][cH:19][cH:20]2)[cH:21][o:22]1,[O:1]=[C:2]1[N:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[C@H:13]([c:14]2[cH:15][c:16]([CH3:17])[cH:18][cH:19][cH:20]2)[CH2:21][O:22]1,[O:1]=[c:2]1[n:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[c:13](-[c:14]2[cH:15][c:16]([CH3:17])[cH:18][cH:19][cH:20]2)[cH:21][o:22]1>>[O:1]=[C:2]1[N:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[C@H:13]([c:14]2[cH:15][c:16]([CH3:17])[cH:18][cH:19][cH:20]2)[CH2:21][O:22]1,"[13, 21]"
[O:1]=[c:2]1[n:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[c:13](-[c:14]2[cH:15][cH:16][c:17]([CH3:18])[cH:19][cH:20]2)[cH:21][o:22]1,[O:1]=[C:2]1[N:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[C@H:13]([c:14]2[cH:15][cH:16][c:17]([CH3:18])[cH:19][cH:20]2)[CH2:21][O:22]1,[O:1]=[c:2]1[n:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[c:13](-[c:14]2[cH:15][cH:16][c:17]([CH3:18])[cH:19][cH:20]2)[cH:21][o:22]1>>[O:1]=[C:2]1[N:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[C@H:13]([c:14]2[cH:15][cH:16][c:17]([CH3:18])[cH:19][cH:20]2)[CH2:21][O:22]1,"[13, 21]"
[O:1]=[c:2]1[n:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[c:13](-[c:14]2[cH:15][cH:16][c:17]([O:18][CH3:19])[cH:20][cH:21]2)[cH:22][o:23]1,[O:1]=[C:2]1[N:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[C@H:13]([c:14]2[cH:15][cH:16][c:17]([O:18][CH3:19])[cH:20][cH:21]2)[CH2:22][O:23]1,[O:1]=[c:2]1[n:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[c:13](-[c:14]2[cH:15][cH:16][c:17]([O:18][CH3:19])[cH:20][cH:21]2)[cH:22][o:23]1>>[O:1]=[C:2]1[N:3]([CH2:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]2)[C@H:13]([c:14]2[cH:15][cH:16][c:17]([O:18][CH3:19])[cH:20][cH:21]2)[CH2:22][O:23]1,"[13, 22]"
